People DEANE,LS,DEANE,DEANE
Title   Interviewed 2/28/20<br>by Lydia Strohl <>
Speaker 0    00:00:00    My husband was born in Alexandria.  
Speaker 1    00:00:02    He was? Yeah. And what was your name when you were born? Rose. Rose.  
Speaker 0    00:00:07    Yeah. I was main, my name.  
Speaker 1    00:00:09    Your full, so your full name is  
Speaker 0    00:00:10    Barbara Jane.  
Speaker 1    00:00:11    Barbara Jane Rose Dean. Dean <laugh>. And you ran the store then?  
Speaker 0    00:00:16    Yeah, we ran it for 20 years. Wow. Mm-hmm <affirmative>. Had more fun than a barrel of monkeys.  
Speaker 1    00:00:23    It was a very special place back then.  
Speaker 0    00:00:25    Oh, yes, it was. Um, I mean, I, I've only been in it once since. There's nothing in there. I mean, we, you know, had all the gossip, we had all the people. We still, I still see lots and lots of the people. Mm-hmm <affirmative>. And it was a fun place.  
Speaker 1    00:00:45    How did you get into that business?  
Speaker 0    00:00:47    Well, when we moved out here, we moved out here from Fairfax. And my husband was working for Budweiser in Fairfax. And I was going through the Washington Post one day and I saw this advertisement for a T in Middleburg. Yeah. And I thought, you know, I remembered being around here from when I was a young person. And I said, oh, Sam, let's go look at it. And so we did. We were down in front of the gate down there, and I looked up here and I said, Sam, I have to have that house even before I ever looked in.  
Speaker 1    00:01:25    Yeah.  
Speaker 0    00:01:26    And so we, uh, sold our house in Fairfax, bought it, came up here, and Sam was working still at Budweiser. And, 'cause I told him, you're the one that have to drive. How are you?  
Speaker 1    00:01:38    Hi, I'm Lydia Mark. Nice to see you. Nice to meet you.  
Speaker 0    00:01:40    I'm telling how we ended up here. Mark  
Speaker 1    00:01:43    Telling me how she came to be here.  
