People LS,JOE,MICHAEL
Title   Interviewed 6/10/22<br>by Lydia Strohl <>
Speaker 0    00:00:00    I am Lydia Stroll and I'm recording for the Middleburg Museum Project and I'm here with Joe and Michael Mo you.  
Speaker 1    00:00:10    My name is Joe Motion and she says, I've got to give you my age, which is 7 6 31 <laugh>.  
Speaker 0    00:00:19    And Michael,  
Speaker 2    00:00:21    I am Michael Motion. And your  
Speaker 1    00:00:26    Age  
Speaker 2    00:00:26    Is my age. I was born in 1930, so I am 92 in two weeks. One week meet.  
Speaker 0    00:00:39    And can you tell me a little bit about how you came to Middleburg, Joe? I know you came before you moved here, maybe you could start with  
Speaker 1    00:00:48    That. Yes. I came in the fifties, um, in the, when there's so much more steep chasing in Virginia. I used to come for the, for the Adams. It was duly Adams mother and father Duly was the then champion jockey. Very stylish, very good horseman. And I'd come to, what was Berlin in those days? Hickory Tree now. And owned by Eleanora, Sears. And I would bring about 15 horses and do all the hunt meets based in Middleburg here. So I got to know it quite well. Um, used to stay at the Red Fox, which was a, a, a place to stay, but I, I couldn't afford to eat in what was the New York Cafe in those days. Later the Coke stop and I'd take all my meals at the lunch counter in the pharmacy, which is now where the carpet guy is.  
Speaker 2    00:01:41    Loo  
Speaker 1    00:01:42    Loo. Yes. And uh, I used to take all my meals there. In fact, when I went home to get married in 56, um, the owner of the then pharmacy gave me a, um, recipe book signed and with a, with a plate in the front of it, which was really nice. And I've always kind of enjoyed it. Anyway, that's when I first came to this area and enjoyed it obviously, and realized that it was a, anyway, we, we were back in England for nearly 20 years. Raised the family there. We've got two American girls born in this country, and two English boys born in England. They were all educated in England except the boys. When we came back in 79, we came back with them and they finished at Kent in Connecticut. And um, so we were in Lexington, Kentucky in those days. 'cause Mike was a bloodstock agent for all those years. And, um, we came up because he was running a larger state up here over the, over the mountain. And then after several years his boss died, which kind of left us a little bit, not quite sure what, but anyway, we stayed, we, we chose to stay in Middleburg and um, and actually we were in Rectortown. We lived in Rectortown, but, um, but we chose to stay in Middleborough because it is a very nice place to live. We enjoy it.  
Speaker 0    00:03:23    When you first came, um, to the hunt meets, for those that don't know what that is, what time of year is it and what happens? Well,  
Speaker 1    00:03:32    That's spring. I would come up, we would winter down in the Carolinas, either Camden or Southern Pines. And, um, there was no, there was no racing in New York in those days. Everybody went south. Uh, but the steeper chasing there were, there was much more steeper chase racing in those days. It's, it was much more active. And, uh, you even had stigma chasing at Belmont Park for heaven, say. And, um, we would come up in the spring. There were all the hunt meets at Glenwood and at Strawberry Hill and at, oh Lord, I can't even remember the places, but, um, um, they, they still have basically all of them in the spring. And then of course they have some in the fall. But we would do the spring. I would come here with a bunch of horses. My boss and wife would go on to New York and I would stay in little burg and with a couple of fellas and about 15 horses. And, um, we'd get on them and guide them at, um, the Clark's track here on, on the edge of the farm here. Um, and I'd get on, I'd get on everything in the morning and the fellas would do the work. And, and it was nice. And I enjoyed living in Middleburg even then, which was way before we were married.  
Speaker 0    00:04:55    Where were you born?  
