People LS,STOKES,STOKES
Title   Interviewed 1/24/20<br>by Lydia Strohl <>
Speaker 0    00:00:01    So could you state your name for me?  
Speaker 1    00:00:03    Mary Stokes.  
Speaker 0    00:00:05    And your birthdate?  
Speaker 1    00:00:07    April 30th, 1939.  
Speaker 0    00:00:10    And where were you born?  
Speaker 1    00:00:12    Carlsbad, New Mexico.  
Speaker 0    00:00:14    And did you live there as, did you grow up there? Yes. Yes. And when did you come to Upperville?  
Speaker 1    00:00:23    1963. As a new bride.  
Speaker 0    00:00:26    As a new bride. And you met your husband, and your husband was,  
Speaker 1    00:00:31    He came to our ranch in New Mexico to look at the cattle. He  
Speaker 0    00:00:34    Did,  
Speaker 1    00:00:35    And that's how I met him.  
Speaker 0    00:00:36    And when did you first meet him?  
Speaker 1    00:00:40    Uh, when I was a junior in college at a University of Arizona. Mm-hmm <affirmative>. He went to Oklahoma State and I went to Arizona and we knew each other that year and the senior year. Mm-hmm  
Speaker 0    00:00:51    <affirmative>. And tell me, um, how you felt when you first traveled all the way across. Had you been to Virginia before? Yes. You had? Yes. And did you like it?  
Speaker 1    00:01:02    Yes, I did.  
Speaker 0    00:01:03    So you were excited to move here?  
Speaker 1    00:01:06    Well, yes, I was. I knew that I was coming from, uh, growing up on a ranch, um, and being in the country, you know, with that kind of living, I was coming to the same sort of, of life, um, in Upperville. Right. The  
Speaker 0    00:01:25    Farm. And, and what did you, uh, do for, at the beginning of your marriage? Tell me what your husband did and what kind of life you had here.  
Speaker 1    00:01:35    He was the manager of Air Shark Farm. Mm-hmm <affirmative>. Which was owned by his family. Uh, his great aunt was the one that owned it. And, um, I kept the books. Uh, we worked cattle together and horses and, uh, it was just on a smaller scale, but it was, it was very unique. It, it was very special.  
Speaker 0    00:01:59    When you say smaller scale, what was the, um, operation you had in New Mexico?  
Speaker 1    00:02:06    Well, you need a lot more land in New Mexico than you do here. 'cause, uh, for grass and grazing and mm-hmm <affirmative>. Um, so it's, it's a large ranch and it's been in the family for five generations. That's amazing. Under the fifth generation.  
Speaker 0    00:02:21    And so you mean because it's less fert, less green there?  
Speaker 1    00:02:24    Well, it's just le Yes. The vegetation is not conducive to grass. Mm-hmm <affirmative>. As, um, it is here. And we don't get the rain. Like, we have an eight Right. Eight inch annual  
Speaker 0    00:02:37    Rain. So it takes more per cow to raise them. Oh, yes. A  
Speaker 1    00:02:40    Lot more. Mm-hmm  
Speaker 0    00:02:41    <affirmative>. What kind of cattle were you raising?  
Speaker 1    00:02:44    Um, we had Angus cattle on my mother, uh, on the mountain ranch. Mm-hmm <affirmative>. And then on the bottom ranch was her. There were Herefords. Mm-hmm <affirmative>. And then they started cross-breeding, and it's a mix now. Right. And my husband stuck in Asure with mostly the Angus mm-hmm  
Speaker 0    00:03:01    <affirmative>. And at the, at the point in time when you came to Asure, can you tell me about the property at that time?  
Speaker 1    00:03:10    Oh, it was beautiful. It was wonderful. It still is. Um,  
Speaker 2    00:03:16    <affirmative>,  
Speaker 1    00:03:18    Tommy's great aunt, Mrs. Jones, lived in the big house. Mm-hmm <affirmative>. And within walking distance were, were the stables and the manager's house, which was just a darling house. The two story house is where Tommy and I lived. And then each one of my children, uh, lived there until, uh, they went away to college. And I lived there until we sold the farm. Mm-hmm <affirmative>.  
Speaker 0    00:03:48    So did you ever move into the big house or did you  
Speaker 1    00:03:51    No, never. Never wanted to. Yeah.  
Speaker 0    00:03:53    That's  
Speaker 1    00:03:54    The little house. So to the upkeep, <laugh>. Right. It was beautiful. And we went there for dinner and we went there for, uh, just seeing in the evening, visiting with Aunt Helen, but mm-hmm <affirmative>. No, I never wanted to live in the big house. He didn't either. Right.  
Speaker 0    00:04:09    And, um, how long did she live there? When did she die?  
Speaker 1    00:04:14    1981, I think it was, um, around 1981. Mm-hmm <affirmative>. And she, she lived there and in Puerto Rico, most of her life back and forth, she traveled a lot.  
Speaker 0    00:04:26    And what was her f full name?  
Speaker 1    00:04:28    Helen Buchanan Jones. She was married and had no children, but had no children. Mm-hmm <affirmative>. And her husband died, um, early, and she was a widow. Uh, she was a delightful woman. And then Tom's mother inherited it. Right. And, uh, she lived in Warrenton, and she just came to live there at the end of her life.  
Speaker 0    00:04:53    And so she lived, she then lived in that Uhhuh  
Speaker 1    00:04:55    Big house at the end of her life. Right. Yeah.  
Speaker 0    00:04:58    And when you, um, came here, how many acres was that property?  
Speaker 1    00:05:06    Just under 800. Under  
Speaker 0    00:05:07    800. And how many cows?  
Speaker 2    00:05:13    I,  
Speaker 1    00:05:14    I don't remember. I don't, I don't remember. They were, you know, in different fields. And we'd go out in the evening and the truck and check 'em, and with Tommy and the children in the back. Um, but we had cattle all over the place, but we were working cattle and shipping them, selling them. It was a constant evolving. Right. Um,  
Speaker 0    00:05:41    And so for someone who has never had that kind of life, can you give me a picture of what a typical day would've looked like for you?  
Speaker 1    00:05:52    Uh, well, early up <laugh>, uh, um, when the children were little, I would take them down to the barns to stay with the woman that lived down there so that we could work cattle. They stayed with Nanny, they called her Nanny. Mm-hmm <affirmative>. Um, and she would watch the little ones. And when they got to the point of being at school, I'd have to do the carpool and take them. Uh, but we always came back and worked in the office and did the books and did the planning. Uh, no computers at the time, so it was all by hand ledger. Mm-hmm <affirmative>. Uh, and we did that and we'd go to cattle sales, um, a lot of times, you know, to be visual or buy, but mostly just to be visual in the business. And, um, it was just, it was a very simple operation, but it was a very clean, thorough, um, plan that my husband had. Tommy Stokes.  
Speaker 0    00:07:01    And tell me about Tommy Stokes. He was born, was he born here?  
Speaker 1    00:07:05    He was born, uh, in Philadelphia, Uhhuh <affirmative>. And, but his parents divorced and he was brought back to Warrenton where his mother lived when he was two or three years old. Mm-hmm <affirmative>. And so he grew up in Warrenton, but going to prep schools and all. Um, and he got in the cattle business through four H. Um, and even though he was away at school, he, he had some four H camps that kept on the, the place in Warton mm-hmm <affirmative>. And then he went to, um, ask Mrs. Jones, Ms. Great aunt, if he could come and work at Air shirt when, before we married. And she, in turn, before he had a chance to ask, she asked him if he would. So it turned out to be That's  
Speaker 0    00:07:53    Interesting. So that he went to meet with her and she  
Speaker 1    00:07:55    Mm-hmm <affirmative>. Then she turned it on, turned it around and said, will you come and manage er? So, um, they, they were very close mm-hmm <affirmative>. And I was very close to his mother, very close to his  
Speaker 0    00:08:08    Mother. And tell me where, um, her place was in Warrenton,  
Speaker 1    00:08:12    Meadowville Farms.  
Speaker 0    00:08:13    Oh, I've seen that. Uhhuh <affirmative>. Right. So that's on 17th  
Speaker 1    00:08:17    Uhhuh <affirmative> on that St. Meadowville stretch.  
Speaker 0    00:08:19    Right, right. That's a beautiful place. She  
Speaker 1    00:08:21    Had grown up at, um, oh, another place in Warton, and it just went right out of my aunt. Um, but she grew up there in Warton. Mm-hmm <affirmative>. She went away to school, and then she used to come home and, um, hunt on the weekends, and then she didn't want to go back to school. Right. So pretty soon they pulled her out of old oilfields and they put her in the school in Warrenton and mm-hmm <affirmative>. She finished her education there.  
Speaker 0    00:08:49    And what was her name?  
Speaker 1    00:08:51    Polly Buchanan.  
Speaker 0    00:08:52    Polly Buchanan. And the Buchanan family is, uh, has Buchanan Hall.  
Speaker 1    00:09:01    Yes. That was, that was the general Anne Helen's father is built that, or finance that to be built. And he was general, uh, James Buchanan.  
Speaker 0    00:09:15    And, um, what was his history?  
Speaker 1    00:09:19    Well, he's the, they all, the Buchanans grew up here locally. They're two different Buchanan families that they're not related. Right. Um, he married a woman from the New England, and I can't remember why he came to Virginia, but he, he bought the place at Asure and or built the big house with all the stone come, coming from the farm, um, and got in the horse business and had a place in the, in DC mm-hmm <affirmative>. And lived there too. And Anne Helen was his hostess, um, when his wife died. Right. Um, and re just went from a horse operation, mainly horse operation, which we still had horses too, but then Tommy moved it into the cattle.  
Speaker 0    00:10:19    Into the cattle. Mm-hmm <affirmative>. And so had, had Helen been doing the cattle, or when did the general die? Do you know that date?  
Speaker 1    00:10:30    Uh, no, I don't. 'cause it was before I was Right. Came,  
Speaker 0    00:10:37    Um, I can probably find out more about that. That's really interesting. So Buchanan Hall then was a place that he, um,  
Speaker 1    00:10:47    Uh, I'm not sure I should have asked Adam of Stormy. I can't because she was president of it mm-hmm <affirmative>. And I can't remember, uh, if the community built it and named it for him, and he helped finance it, I think is  
Speaker 0    00:11:01    Right.  
Speaker 1    00:11:02    You think that's,  
Speaker 0    00:11:03    I think that is correct. I think that's the way that, that it was a community effort.  
Speaker 1    00:11:07    We committed, we, we count on it being a community, um, place we want for years, we tried to bring the community mm-hmm <affirmative>. Um, in with, we used to have wonderful parties, um, in the summertime. And the children, you know, would have watermelon feast, rolled watermelons, uh, the baking goods, everybody contributed, um, in the community. It was really a wonderful, a, a wonderful summer experience that we had. Mm-hmm <affirmative>. Mm-hmm <affirmative>. Children. Loved it.  
Speaker 0    00:11:45    What was winter here like? Did you have, was it a bit,  
Speaker 1    00:11:49    A lot more snow <laugh>. A lot more snow? Yeah. We were snowed in many times without heat. Mm-hmm <affirmative>. Um, I'd bring bundle the children up with hats and coats and all, and we'd sleep in front of the fireplace at our little house to stay warm. Um, Tommy and I would go out in the mornings then to check the cattle. And sometimes, I remember one time we sort of had to roll out across the snow drift that had come up to the, towards the door. And we walked out and got across the cattle guard and there was a little black head stuck up. It was a little Angus cab. And Tommy went to try to pull it up out of the snow, and the ear just came right off. Mm.  
Speaker 0    00:12:34    It was frozen.  
Speaker 1    00:12:35    We, you know, we really had snowstorms. Um, I have a picture of the children that are up on at the entrance. Right. It's sitting under the big sign that said, aha Farm, you know, that just, and then getting out sometimes we, uh, were there for a week. And I remember that Aunt Helen needed medicine one time, and they got it as far as Upperville, uh, the store there, Mrs. O' Store and Elizabeth Plaskitt. Do you remember her? Mm-hmm <affirmative>. She cross country, skied that medicine into airship. She picked it up because they lived across the street from it. Right. The store. And she came on her cross country skis.  
Speaker 0    00:13:17    I can remember that. Even when we lived down at the corner here. Yeah. Um, our driveway was so far back that I remember cross country skiing down. We hadn't been able to get the car up the driveway. So we walked up, and then I would cross country ski down, go to the town, come back, <laugh>, get the groceries.  
Speaker 1    00:13:40    It was a great lot though, wasn't it? Yeah.  
Speaker 0    00:13:42    Yeah.  
Speaker 1    00:13:42    Yeah. It really was special. Right.  
Speaker 0    00:13:45    Um, when, what was the, um, social fabric of the community like at when you came here? It must, was it,  
