People DUDLEY,LS,DUDLEY
Title   Interviewed 2/7/20<br>by Lydia Strohl <>
Speaker 0    00:00:00    I see technology sometimes,  
Speaker 1    00:00:01    Sometimes it doesn't always work. Okay, now we're going, I can see the, the light. Um, this is an oral History by Lydia Stroll. It is the 7th of February, take three. <laugh>. Thanks for being here, Mr. Dudley. Okay. State your  
Speaker 0    00:00:16    Name. Okay. Uh, Tim Dudley. Proper name is Thomas U. Dudley ii. Um, I was born in San Francisco, November 16th, 1942. My father was in the service, um, stationed there in preparation to be shipped out to the Pacific during World War ii. My mother and I, um, spent a short time in, uh, San Francisco, uh, because he was shipped out. And so I am told that I was put in a laundry basket and rode a train all the way from San Francisco to Richmond, Virginia. Um, uh, so we lived with my, uh, uh, my mother's mother, who was a widow, uh, in Richmond. And, uh, we came up here to Middleburg, um, frequently, uh, to visit my grandparents, my father's parents who lived at Exing, which is, um, about, uh, three miles to the east of Middleburg. Uh, was a family farm that, uh, my grandmother's family, her maiden name was Hacksaw, H-A-X-A-L-L.  
Speaker 0    00:01:23    Uh, her family had bought the, uh, farm in about 1870. Her, her, um, her family was a, uh, uh, a, uh, a, um, a business family in, in Richmond, Virginia. Um, but her father, um, her grandfather, uh, decided that her father was not a particularly good businessman, so they sent him up here to do some farming. So, anyhow, we, I, I grew up, um, there, uh, during the war, um, uh, during the war, uh, we lived in Richmond, but we came up here frequently to visit my grandparents. And, uh, so I have, you know, early recollections of, of, of that. Um, we, my mother and I actually moved up here in the late forties when my dad got out of the service. Uh, he actually stayed in for an extra year. I think he probably was involved in some, uh, aspect of, um, uh, the CIA or the OSS or whatever they called it at the time. And, um, so he was sort of snooping around out there doing some stuff after the war. But anyhow, uh, so, um,  
Speaker 1    00:02:36    But he, he was stationed back here? No. When you came back here, did, did he come with you or was he still working?  
Speaker 0    00:02:43    No, he, he, he got out of the army, and then my mother and my father got back together. Um, and, um, they, uh, moved up here. We renovated a house, um, on the farm, and, uh, moved into permanent residence there. My dad prior, uh, prior to, uh, world War ii, um, had, uh, finished, uh, law school at the University of Virginia. So he was, he was a member of the bar. And like, uh, just as a smallest aside, my father was, uh, uh, was the first person that was drafted in Loudoun County. Um, his, his father, my grandfather was the head of the Selective Service Board in Loudoun County. And my father felt very strongly that he didn't want, uh, anybody to think that his, his father had, um, in some way, uh, sort of rigged the odds on, uh, when he was gonna be drafted. So he just told his father, he said, look, give me the number one ball. I'm gonna be the, I'm gonna volunteer. And so he was the first, first man from Loudoun County to, to, uh, to be drafted in, in the selective service. Um, how old was  
Speaker 1    00:03:53    He when he went?  
Speaker 0    00:03:55    Well, he was born in 1913, so this would've been, he, this was about 1940, so mm-hmm <affirmative>. Um, 40, well, my parents were married in December of 1941, and he was a, he was a master sergeant in the Army at that time. So he'd been in, I think he was probably went in 1940. Mm-hmm <affirmative>.  
Speaker 1    00:04:16    And what was his full  
Speaker 0    00:04:17    Name? John R. Dudley. Um, as I said, he was a, uh, he'd, he'd completed law school and, um, so forth. And so, and so after the war, he came back here and, uh, set up law practice in Middleburg. Uh, actually, the office that he first had in Middleburg was where Tom Hayes just closed up his jewelry business. And his, uh, his, uh, friend from law school was, uh, bill Grassy, who was, uh, Trobridge ton's, uh, stepfather. They had gone to school together, um, and had gone to law school together. And they were classmates in law school. And I, and I believe that, um, that is how Bill Grassy actually found his way to Middleburg. 'cause he was originally from Stanton, Virginia. Mm-hmm <affirmative>. And, uh, but, uh, Trobe's mother, Rosalie Mogue was a very, very close friend of my dad's. And the Mogus and the Dudleys were very close, uh, friends, of course, there weren't a whole lot of people around here at the time.  
