People  LS,LEE,LEE,LEE
Title   Interviewed 1/28/25<br>by Lydia Strohl <https://middleburgmuseum.org/wp-content/uploads/2025/01/annlee.jpg>
Speaker 0    00:00:01    I am here with Ann Lee in <Willisville @39.00707,-77.83186,17>, which is technically <Upperville @38.99454,-77.88350,15> 
Speaker 1    00:00:08    Upperville address here.  
Speaker 0    00:00:10    And your full name?  
Speaker 1    00:00:12    Ann B. Lee.  
Speaker 0    00:00:13    And the B stands for,  
Speaker 1    00:00:15    So Brooks, that's my maiden  
Speaker 0    00:00:17    Name. That was your maiden name? Mm-hmm <affirmative>. And when were you born?  
Speaker 1    00:00:23    9/3/27.  
Speaker 0    00:00:29    Oh, so you're coming up on <laugh>  
Speaker 1    00:00:31    Big birthday, aren't you? That's, I'm coming up on to be 98 here.  
Speaker 0    00:00:39    That's fantastic. Mm-hmm <affirmative>. And what, tell me about, you've lived here all your life.  
Speaker 1    00:00:47    No, I, I, I, we moved here in 35. Mm-hmm <affirmative>. With my parents. And, 
Speaker 0    00:00:56    And why did they come here?  
Speaker 1    00:01:00    I didn't hear.  
Speaker 0    00:01:01    Why did they, why did they move here?  
Speaker 1    00:01:03    Oh, my father was a farmer, worked on farms, and he moved from, you know, we was living at <Welbourne https://images.squarespace-cdn.com/content/v1/5fc559c03398ff75154b6d25/1606774251757-93CEC69HDSA6XGDTHBJQ/house+3-4+med+aerial.jpg>. Mm-hmm <affirmative>. And,  then he got a job at <Catesby https://www.middleburglife.com/wp-content/uploads/2019/08/DJI_0017-1024x576.jpg>. And so Catesby the next  
Speaker 0    00:01:22    Farm. Right, right, right. I used to live just back here.  
Speaker 1    00:01:26    Oh, you did? <laugh>  
Speaker 0    00:01:27    In this little yellow house. I think they've made it really fancy now, but <laugh>  
Speaker 1    00:01:31    <laugh>. Oh, okay. Well, he, he moved, he, he got a job at Catesby, and then we moved to Willisville.  
Speaker 0    00:01:41    And you were born at,  
Speaker 1    00:01:43    I was born at <St. Louis @39.00393,-77.79078,16>.  
Speaker 0    00:01:48    Mm-hmm <affirmative>. And what was it like growing up at <Welbourne https://upload.wikimedia.org/wikipedia/commons/thumb/9/97/WELBOURNE%2C_LOUDOUN_COUNTY%2C_VA.jpg/1200px-WELBOURNE%2C_LOUDOUN_COUNTY%2C_VA.jpg>?  
Speaker 1    00:01:56    Well, I was, I was about seven or something, you know, when I, so we, basically, we had to walk from Welbourne to school here at  
Speaker 0    00:02:13    Willisville here. Yeah. Yeah. That's a little bit of a ways, if it's not very nice weather, isn't it? <laugh>.  
Speaker 1    00:02:19    Yeah. But yes, we walked that far. And, uh, so growing up in Welbourne, well, can't remember too much, you know, I was so young.  
Speaker 0    00:02:32    Yeah.  
