People  LS,CLAUDIA,SANDY
Title   Interviewed 1/30/20<br>by Lydia Strohl <https://d1q40j6jx1d8h6.cloudfront.net/Obituaries/23112665/Thumbnail.jpg>
Speaker 0    00:00:00    This oral history with Robert McDonald Young, who is called Sandy, and his wife Claudia Young, nay Saffer, S-A-F-F-E-R, was recorded on January 30th, 2020 at <105 East Washington Street @38.96967,-77.73350,18> in Middleburg, Virginia.  
Speaker 0    00:00:22    We are sitting in the <Emanuel Church Parish House https://www.emmanuelmiddleburg.org> on Washington Street in Middleburg, which is where you lived for part of your childhood. Yes. 
Speaker 1    00:00:32    Most of my childhood. Not  
Speaker 1    00:00:33    Most of your childhood. We  
Speaker 1    00:00:35    Lived on the other side of the street, midwife up the street before moving down here. Mm-hmm <affirmative>. I'll tell you about that later. Okay.  
Speaker 0    00:00:44    You said you wanted to start at W Pen Creek. Yeah. And why is that?  
Speaker 1    00:00:48    And I have a footnote about w Bend Creek. Stanley Wills knew was the only cop in town, was married to another woman, and he was having an affair with a married woman. And my brother Stewart, happened to walk by and see his car in there. And he took the key and locked the gate and took the key and threw it in Walker, Penn Creek. It's probably there to this day, on the bottom of Walker Bed Creek Creek. And anyway, he, Stanley took the married lady and boosted him on her shoulder, and she got over the fence. And then she called somebody and said, I just walked by the old cemetery, which there was only one way in, and one way out through the main gate and said, I see that the town cop is there, Mr. Wilson is there. And so they went down to let him out.  
Speaker 1    00:01:43    And of course it was locked, so they had to saw the, uh, lock case in half and let him out. And they said, what were you doing in there, Stanley? He said, well, I heard that they're stealing marble grave stones. And he said, I wanted to make sure that they weren't stealing them, that they were in there. So he got out and that was it. And I'm sure the, as I said, the key is on the bottom, walk in Creek to this day, <laugh>. So we'll start on that side of the street and come up the street. Raymond Gordon lived in the house, the big house that is now painted white. It was natural brick before he moved. When he lived there, he made all the suits for men and women. And he also made the pink coats for the hunt, which are actually red. And the reason they're called pink is they were made by a George Pink in England, and he made 'em for the first hunt.  
Speaker 1    00:02:44    He lived in London. And he, um, so they named coats after him. That's why they're called pink coats, even though they're red. Mm-hmm <affirmative>. So anyway, Raymond Gordon had more work than he could actually handled. He was busy all the time. And he was a wonderful, excellent tailor. And then next to him is the little brick house, which I think is painted white now. It used to be red. And, uh, a writer, an author by the name of Dickerson, lived there, can't remember his first name. Uh, we're all familiar with his books. I can't remember any of those. And he lived there for a long time. And then there was a little White House. I'm not sure if it's still there or not, that, um, oh gosh, what was his name? The black man that worked for Lewis Wiley. Mutts. Mutts, yes. Mut. Tibs lived, he had, was married and he had three daughters, um, two of which are around here. One is deceased.  
Speaker 1    00:03:53    And then there were, no, those townhouses were not there. And the brick house on the end, which has been painted in white. Mm-hmm <affirmative>. I do not know who lives there. I don't think it was there when I was growing up. I think it was built later. Uh, up the back street, of course, was the Black Baptist Church and the house on the corner where, um, the Turners originally lived. And then they moved down here on the back street. Anyway, uh, then it was Confederate Hall, and Confederate Hall was moved to the Abel Smith's, uh, Mimi Abel Smith's mother actually moved it. And it stands today on Mimi Abel Smith's property, which she inherited from her mother. And it's the way it looked then. And where was it in? It was right where the Exxon station is. Okay. Okay. Next to that was Courtney Smith's house.  
Speaker 1    00:04:55    Courtney Smith's house. He was the mayor of Middleburg, and it's now the real estate office. Mm-hmm <affirmative>. He, uh, had a koi pond and beautiful gardens with flowers in the back. Had a mint garden. Only person, I doubt I knew that had a mint garden. Then next to him was the Fletcher House. Mrs. Fletcher was a widow with three sons. Only one remains today. And he lives in Connecticut. Uh, next to that was the, uh, Leonard House. Um, buddy Leonard, Ms. Leonard later worked at the Gourmet Kitchen that, uh, once Dotson owned. But she, she was wonderful. She baked great cookies and things, which she'd give to us. And, uh, now it's, it's the, uh, McMahon office. Then next to that is the White House in the back that my mother and father lived in when they were first married. And there were blood stains on the hearth where somebody had been murdered, and they had to bleach those and get 'em up. Uh, Lynn and, um, can't think of his name, all of a sudden.  
Speaker 0    00:06:25    Royston  
Speaker 1    00:06:26    Lynn Royston. Yeah, Lynn, her husband Jerry, Jerry Wines live now the White House right there. Right. It's across. Right,  
Speaker 1    00:06:38    Right,  
Speaker 1    00:06:39    Right up the street a little bit <next @38.97108,-77.73065,19> to the funeral home. Mm-hmm <affirmative>. Yeah. Mm-hmm <affirmative>. The funeral home was built. And Tyler Gore was the funeral director. He's now retired. He and Peggy Gordon. Peggy is the daughter of the Taylor that lived down at the end of town. Mm-hmm <affirmative>. Um, Tyler's retired because he had lots of injuries and pain and whatnot. Mm-hmm <affirmative>. But the Royans were there when you were Yeah. The Royans were little. My father was a doctor that lived here. My mother was a nurse, though. She never practiced 'cause she was too busy having babies and raising us. Anyway, um, Royston funeral home was always a funeral home. And my f as I said, my father was a doctor. And Norris Royston always joked and said that, uh, he got daddy's mistakes.  
Speaker 1    00:07:37    <laugh>.  
Speaker 1    00:07:39    Then Ms. Mercer had the building next door, which is now two shops, but it was all one. And she had Emory Bendell Cosmetics. She had gifts, she had, um, clothes. She had just about everything. And she also had the little building behind it. And it was owned by, um, I'll get back to that. I remember, I, I can see her picture right now. Just the name escapes me. Gwen Dobson owned it when we were, no. Gwyn later bought it from and made it into two separate shops. Wait a minute. Um, Mary White was owned by Mary White, and she came in for lunch every day. And, uh, Ms. Mercer had, uh, a dog named Panal Hattie, which was a little Jones, Terry, with Flo Beers. It was a runt of the litter. And it went everywhere she went. And she would carry it in her pocketbook with her pocketbook open and this little head sticking out. And, uh, we had the best time. She would take me home with her for lunch and dinner. Well, more dinner. And she baked the best bread. And she would send me home with a loaf, take me home with a local bread. And where  
Speaker 0    00:09:12    Did she live?  
Speaker 1    00:09:12    She lived out of town. And then next to that was the, uh, house where we lived. The brick house, which is now, I think a thrift shop or something.  
Speaker 0    00:09:29    That's the one in the middle. Chloe's actually now.  
Speaker 1    00:09:32    Yeah. See there no buildings were there originally. Our property went all the way to the end of the street. It was a dirt road. And on Route 50, which had recently been pave, there were beautiful maple trees all up and down the road. Mm-hmm <affirmative>. Anyway, um, we owned the property all the way back to back street, and it was just, as I said, dirt roads.  
Speaker 0    00:09:58    So it was like the whole block.  
Speaker 1    00:10:00    Yeah. Not the entire block, but most part of the block. Right. All the way to the back. You can see it from the picture. Yeah. We had a meat house. Mm-hmm <affirmative>. We had, uh, wood, uh, shed. We had a barn. We had a feel, which we, uh, let, uh, Ms. Newton Colston, Newton, Ms. Colston Newton use, she had ponies, three ponies and three children. We all rode together. Mm-hmm <affirmative>. Uh, she lived at Stray Shot, which is where Turner Reuter is now. The, uh, you know, the big place He has the n Right. And then across from that was the, uh, lone Telephone Exchange. And Bessie Moore ran that. It was a switchboard in those days. We plugged in the phone.  
Speaker 0    00:10:58    When you say Lom, is it LO How do you spell that? Lom. The telephone exchange. The name of it.  
Speaker 1    00:11:04    It had no name. Oh, it, it was the only telephone exchange.  
Speaker 0    00:11:08    Oh, I thought you said it was  
Speaker 1    00:11:09    Loan. No, the only loan  
