People       LS,TAYLOR
Title        Interviewed 3/7/20<br>by Lydia Strohl <https://middleburgmuseum.org/wp-content/uploads/2025/03/HeatherTaylor-scaled.jpg>
Speaker 0    00:00:02    So I'm sitting here with Mrs. Taylor. Would you like to say your full name?  
Speaker 1    00:00:06    Yes. Hello to everyone <laugh>. Uh, no, but you asked me what to tell you what my name was. Right. Uh, my name's Heather Taylor. Uh, and I moved to Middleburg in 1970, but I was born in New York City, 1940. Uh, just had my birthday. I was born on Leap Year <laugh>, so I a special birthday of being 20 <laugh> this year. That was very good. But, um, then I was, you know, at school there and then, uh, married and moved to Virginia in 1960. And, um, you  
Speaker 0    00:00:50    Were married to,  
Speaker 1    00:00:51    Uh, William Leachman. Uh, they had lumber companies around the area, uh, Washington included in those days. And there was one in Manassas, and that's why we were living in Manassas for three years. My husband was at that lumber company there, and Manassas was a tiny place before 66. Right. It was very, it was a great place, actually. Very small southern town. They just got, um, special dialing, I guess, for the telephones by the time we came. Mm-hmm <affirmative>. It used to be you just picked up and, you know, when we first came, you just picked up the phone, you know, and, uh, didn't expect much <laugh>, but that changed. But we were there and enjoyed that for three years, and then moved to Washington. Mm-hmm <affirmative>. Where he was working. And then, um, lived in Bethesda. Uh, that was great. And had, you know, good friends and friends for all, you know, for the, during that time.  
Speaker 1    00:01:48    And then we kept the friends, we moved out here. Mm-hmm <affirmative>. Um, in 1970, built this house and my husband had, uh, Northern County's lumber in Upperville. Mm-hmm <affirmative>. And that's, um, that's what brought us here. Uh, and that expanded to a lumber company and the house building company o over those years until he, uh, died in 1976. Mm-hmm <affirmative>. And we still kept going after that. I was in charge, which, uh, was very difficult, had three children, but I stayed here. Mm-hmm <affirmative>. And then, uh, had the lumber company, um, and got a lovely people to help me there. Right. And kept it until I think 92. Mm-hmm <affirmative>. And, uh, sold it, um, and retired. But in 1983, I married Richard Taylor. Mm-hmm <affirmative>. My current husband, um, who's British, uh, and we've lived here ever since. Mm-hmm <affirmative>. Um, and he's, he retired, um, in at the same time I did. So it was good. We've had fun. Yeah. <laugh>, we're bird watchers and we've done some traveling and just, just enjoyed ourselves.  
Speaker 0    00:03:11    How did you meet Mr. Leachman?  
Speaker 1    00:03:12    Um, Mr. Leachman, um, met him when I was at Mount Vernon College in Washington. Mm-hmm <affirmative>. Uh, and he had just gotten outta the Marine Corps, and he was, um, a, the brother of a, um, uh, a friend of my mother's mm-hmm <affirmative>. In Connecticut. So that's where she, uh, asked him to, um, go down and meet her daughter's, her, uh, friend's daughter. Mm-hmm <affirmative>. And that's how I met him. <laugh>. So it went on from there. Right. So I was in Washington,  
Speaker 0    00:03:44    Washington DC mm-hmm  
Speaker 1    00:03:46    <affirmative>. And really enjoyed it. Um, we, what was that? It's like, that was 57 to 59. Right. And I remember we always, my, my roommates and I were always talking, we, oh, we gonna live in Georgetown after we graduate, and then we're going to get, 'cause we went to Georgetown a lot. Mm-hmm <affirmative>. <laugh> enjoyed ourselves there and, and met, you know, dated some people from Georgetown and just enjoyed life, enjoyed college.  
Speaker 0    00:04:13    It's a nice  
Speaker 1    00:04:14    Town. But then I met Leachman, and then the next year I married, we got married. Mm-hmm <affirmative>. So very early as my daughter said, mom, how could your mother let you get married at that young age of 20? And I said, well, in those days, it wasn't that unusual  
Speaker 0    00:04:27    <laugh>. Right.  
Speaker 1    00:04:28    But it was pretty silly.  
Speaker 0    00:04:30    And you, your children were born in, um,  
Speaker 1    00:04:33    Well, one was born Manassas, no. Yes, yes, yes. Um, bill was born in Manassas, Billy. Mm-hmm <affirmative>. He's passed away in, oh, 10 years ago. Mm-hmm <affirmative>. That Kelsey's husband. Right. Olivia and Hannah's dad. Mm-hmm <affirmative>.  
Speaker 0    00:04:52    And he was born, what year was he born?  
Speaker 1    00:04:55    Uh, 60.  
Speaker 0    00:04:57    1960.  
